GEOID,year,force,employed,unemployed,rate
17035,2010,6069,5512,557,9.2
17037,2010,56390,50461,5929,10.5
17039,2010,8811,8044,767,8.7
17041,2010,10339,9433,906,8.8
17043,2010,502807,458264,44543,8.9
17045,2010,9465,8405,1060,11.2
17047,2010,3230,2948,282,8.7
17049,2010,18666,17194,1472,7.9
17051,2010,11242,10110,1132,10.1
17053,2010,7292,6603,689,9.4
17055,2010,18004,15783,2221,12.3
17057,2010,17592,15534,2058,11.7
17059,2010,2637,2384,253,9.6
17061,2010,6816,6183,633,9.3
17063,2010,25953,22505,3448,13.3
17065,2010,4014,3636,378,9.4
17067,2010,9959,8906,1053,10.6
17069,2010,1795,1601,194,10.8
17071,2010,3930,3564,366,9.3
17073,2010,26795,24358,2437,9.1
17075,2010,16043,14427,1616,10.1
17077,2010,29861,27403,2458,8.2
17079,2010,5100,4646,454,8.9
17081,2010,18234,16373,1861,10.2
17083,2010,11612,10549,1063,9.2
17085,2010,12451,11343,1108,8.9
17087,2010,4454,3898,556,12.5
17089,2010,267247,237779,29468,11
17091,2010,57060,49991,7069,12.4
17093,2010,62411,56086,6325,10.1
17095,2010,25352,22930,2422,9.6
17097,2010,370042,333639,36403,9.8
17099,2010,61858,54430,7428,12
17101,2010,6706,5987,719,10.7
17103,2010,19238,17310,1928,10
17105,2010,19315,17389,1926,10
17107,2010,13958,12747,1211,8.7
17109,2010,15645,14310,1335,8.5
17111,2010,168798,151014,17784,10.5
17113,2010,96138,89351,6787,7.1
17115,2010,55193,49031,6162,11.2
17117,2010,24782,22228,2554,10.3
17119,2010,138764,125134,13630,9.8
17121,2010,19395,17296,2099,10.8
17123,2010,6427,5768,659,10.3
17125,2010,7432,6524,908,12.2
17127,2010,7072,6401,671,9.5
17129,2010,7150,6612,538,7.5
17131,2010,8980,8087,893,9.9
17133,2010,18008,16693,1315,7.3
17135,2010,13902,12194,1708,12.3
17137,2010,18415,16864,1551,8.4
17139,2010,7678,7022,656,8.5
17141,2010,28215,24709,3506,12.4
17143,2010,96018,85933,10085,10.5
17145,2010,9593,8534,1059,11
17147,2010,9176,8457,719,7.8
17149,2010,8126,7398,728,9
17151,2010,2031,1839,192,9.5
17153,2010,2480,2172,308,12.4
17155,2010,3311,2913,398,12
17157,2010,15026,13708,1318,8.8
17159,2010,8016,7301,715,8.9
17161,2010,76522,69244,7278,9.5
17163,2010,133097,119414,13683,10.3
17165,2010,11634,10449,1185,10.2
17167,2010,108716,100303,8413,7.7
17169,2010,3865,3546,319,8.3
17171,2010,2885,2634,251,8.7
17173,2010,11207,10117,1090,9.7
17175,2010,3029,2734,295,9.7
17177,2010,24685,21955,2730,11.1
17179,2010,71668,64562,7106,9.9
17181,2010,7971,7017,954,12
17183,2010,37958,33617,4341,11.4
17185,2010,5863,5290,573,9.8
17187,2010,9298,8576,722,7.8
17189,2010,8498,7882,616,7.2
17191,2010,8397,7649,748,8.9
17193,2010,7583,6939,644,8.5
17195,2010,29905,26821,3084,10.3
17197,2010,355646,316212,39434,11.1
17199,2010,32530,29372,3158,9.7
17201,2010,150082,129018,21064,14
17203,2010,20339,18779,1560,7.7
18001,2010,16398,14744,1654,10.1
18003,2010,175942,157113,18829,10.7
18005,2010,38387,34727,3660,9.5
18007,2010,4662,4232,430,9.2
18009,2010,5847,5007,840,14.4
18011,2010,29394,27162,2232,7.6
18013,2010,7566,6781,785,10.4
18015,2010,10254,9239,1015,9.9
